scenario,h3_res,target_rps,p50_ms_median,p95_ms_median,p99_ms_median,throughput_rps_median,errors_sum,postgis_cpu_avg_pct_median,geoserver_cpu_avg_pct_median
baseline,0,600,5.159,25.80175,75.72749999999999,598.7782794949599,1,44.4625,217.0335
cache,8,600,2.567,16.31579999999999,32.43600000000003,599.9797773131912,2,8.946,34.6805
baseline,0,800,5.325,29.781900000000007,85.54512,789.1964238090186,5,57.58,285.845
cache,8,800,2.7415000000000003,17.35375,35.74285000000005,799.9698363089193,4,12.129473684210527,48.7478947368421
baseline,0,1000,21.334,67.5566,111.33351999999992,970.894030506598,5,83.239,392.7395
cache,8,1000,4.09,39.21734999999988,98.47195999999994,979.6822279439198,2,14.961,56.4335
