zipf_s,best_h3_res_p50,best_p50_ms,best_h3_res_p95,best_p95_ms,best_h3_res_p99,best_p99_ms
1.1,7,1.076,7,6.421399999999995,7,13.48992000000002
1.2,7,1.019,7,5.942300000000003,7,12.145840000000018
1.3,7,0.965,7,5.308300000000003,7,9.914299999999988
1.4,7,0.936,7,4.661099999999999,7,8.484099999999984
